date,additions,deletions,owner,repo
1602374400,3958,-1654,maticnetwork,bor
1602979200,1812,-545,maticnetwork,bor
1603584000,2216,-326,maticnetwork,bor
1604188800,620,-165,maticnetwork,bor
1604793600,41377,-32571,maticnetwork,bor
1605398400,1254,-2471,maticnetwork,bor
1606003200,2386,-538,maticnetwork,bor
1606608000,2192,-442,maticnetwork,bor
1607212800,5234,-1480,maticnetwork,bor
1607817600,16576,-6823,maticnetwork,bor
1608422400,592,-488,maticnetwork,bor
1609027200,276,-268,maticnetwork,bor
1609632000,2760,-1275,maticnetwork,bor
1610236800,1002,-344,maticnetwork,bor
1610841600,2788,-1234,maticnetwork,bor
1611446400,8405,-14877,maticnetwork,bor
1612051200,3052,-2234,maticnetwork,bor
1612656000,3306,-374,maticnetwork,bor
1613260800,14949,-12049,maticnetwork,bor
1613865600,11574,-5714,maticnetwork,bor
1614470400,2286,-1484,maticnetwork,bor
1615075200,66,-24,maticnetwork,bor
1615680000,736,-523,maticnetwork,bor
1616284800,1913,-905,maticnetwork,bor
1616889600,329,-126,maticnetwork,bor
1617494400,3570,-2653,maticnetwork,bor
1618099200,2777,-463,maticnetwork,bor
1618704000,1926,-729,maticnetwork,bor
1619308800,2065,-1205,maticnetwork,bor
1619913600,961,-512,maticnetwork,bor
1620518400,432,-419,maticnetwork,bor
1621123200,3328,-1285,maticnetwork,bor
1621728000,3577,-2597,maticnetwork,bor
1622332800,1073,-445,maticnetwork,bor
1622937600,717,-442,maticnetwork,bor
1623542400,1645,-368,maticnetwork,bor
1624147200,269,-137,maticnetwork,bor
1624752000,1588,-828,maticnetwork,bor
1625356800,279,-452,maticnetwork,bor
1625961600,176,-161,maticnetwork,bor
1626566400,411,-34,maticnetwork,bor
1627171200,470,-327,maticnetwork,bor
1627776000,507,-83,maticnetwork,bor
1628380800,688,-301,maticnetwork,bor
1628985600,1023,-600,maticnetwork,bor
1629590400,1569,-1268,maticnetwork,bor
1630195200,710,-96,maticnetwork,bor
